v,f,y
id10029\1.wav,id10025\4.jpg,0
id10049\5.wav,id10049\3.jpg,1
id10023\2.wav,id10017\5.jpg,0
id10049\2.wav,id10049\2.jpg,1
id10025\1.wav,id10023\3.jpg,0
id10036\5.wav,id10014\1.jpg,0
id10029\2.wav,id10029\4.jpg,1
id10055\4.wav,id10055\3.jpg,1
id10008\4.wav,id10008\5.jpg,1
id10053\2.wav,id10053\4.jpg,1
id10018\3.wav,id10018\4.jpg,1
id10036\4.wav,id10036\2.jpg,1
id10029\2.wav,id10016\2.jpg,0
id10055\5.wav,id10055\1.jpg,1
id10042\1.wav,id10019\1.jpg,0
id10043\3.wav,id10050\3.jpg,0
id10029\3.wav,id10028\3.jpg,0
id10021\3.wav,id10021\4.jpg,1
id10016\2.wav,id10018\1.jpg,0
id10012\5.wav,id10007\1.jpg,0
id10039\1.wav,id10055\1.jpg,0
id10012\3.wav,id10018\1.jpg,0
id10052\1.wav,id10045\1.jpg,0
id10023\5.wav,id10023\5.jpg,1
id10051\4.wav,id10039\4.jpg,0
id10009\2.wav,id10009\1.jpg,1
id10039\2.wav,id10021\1.jpg,0
id10046\1.wav,id10046\5.jpg,1
id10053\4.wav,id10011\1.jpg,0
id10033\3.wav,id10033\4.jpg,1
id10012\5.wav,id10039\3.jpg,0
id10042\4.wav,id10041\2.jpg,0
id10006\4.wav,id10032\5.jpg,0
id10043\3.wav,id10025\2.jpg,0
id10034\1.wav,id10034\1.jpg,1
id10051\5.wav,id10041\5.jpg,0
id10030\3.wav,id10052\3.jpg,0
id10039\4.wav,id10032\3.jpg,0
id10010\4.wav,id10045\2.jpg,0
id10035\3.wav,id10053\3.jpg,0
id10055\1.wav,id10047\3.jpg,0
id10038\3.wav,id10016\5.jpg,0
id10011\2.wav,id10011\3.jpg,1
id10023\5.wav,id10023\2.jpg,1
id10037\2.wav,id10034\5.jpg,0
id10030\3.wav,id10055\5.jpg,0
id10038\3.wav,id10038\5.jpg,1
id10018\1.wav,id10047\1.jpg,0
id10019\5.wav,id10041\4.jpg,0
id10022\1.wav,id10012\5.jpg,0
id10023\1.wav,id10041\4.jpg,0
id10040\5.wav,id10041\5.jpg,0
id10040\4.wav,id10034\1.jpg,0
id10014\2.wav,id10014\5.jpg,1
id10032\1.wav,id10043\5.jpg,0
id10031\2.wav,id10041\4.jpg,0
id10042\4.wav,id10014\3.jpg,0
id10033\4.wav,id10042\2.jpg,0
id10048\4.wav,id10033\4.jpg,0
id10048\3.wav,id10048\3.jpg,1
id10046\1.wav,id10019\3.jpg,0
id10027\4.wav,id10018\4.jpg,0
id10040\2.wav,id10040\4.jpg,1
id10044\2.wav,id10035\2.jpg,0
id10036\1.wav,id10036\5.jpg,1
id10012\3.wav,id10007\3.jpg,0
id10043\5.wav,id10006\3.jpg,0
id10014\2.wav,id10016\1.jpg,0
id10046\5.wav,id10016\4.jpg,0
id10051\5.wav,id10051\4.jpg,1
id10047\5.wav,id10046\2.jpg,0
id10043\3.wav,id10054\1.jpg,0
id10033\2.wav,id10033\5.jpg,1
id10044\1.wav,id10038\1.jpg,0
id10026\3.wav,id10034\1.jpg,0
id10048\1.wav,id10048\5.jpg,1
id10049\2.wav,id10049\2.jpg,1
id10055\4.wav,id10033\4.jpg,0
id10012\3.wav,id10014\5.jpg,0
id10034\5.wav,id10008\3.jpg,0
id10020\3.wav,id10051\1.jpg,0
id10043\3.wav,id10030\2.jpg,0
id10015\3.wav,id10015\5.jpg,1
id10039\4.wav,id10033\5.jpg,0
id10016\2.wav,id10030\2.jpg,0
id10017\4.wav,id10017\1.jpg,1
id10016\4.wav,id10016\3.jpg,1
id10014\5.wav,id10006\3.jpg,0
id10033\4.wav,id10026\1.jpg,0
id10006\5.wav,id10046\2.jpg,0
id10030\3.wav,id10014\2.jpg,0
id10044\1.wav,id10041\2.jpg,0
id10052\3.wav,id10050\2.jpg,0
id10037\4.wav,id10037\4.jpg,1
id10023\2.wav,id10029\4.jpg,0
id10053\1.wav,id10053\3.jpg,1
id10007\5.wav,id10009\3.jpg,0
id10031\4.wav,id10049\2.jpg,0
